seed,method,source_method,final_energy_per_site,within_run_variance
63,Hybrid,mixture2,-1.33747192,7.22e-06
64,Hybrid,mixture2,-1.33804879,3.651e-05
65,Hybrid,mixture2,-1.33747319,1.089e-05
66,Hybrid,mixture2,-1.33802987,1.514e-05
67,Hybrid,mixture2,-1.33805287,2.162e-05
68,Hybrid,mixture2,-1.33747856,4.44e-05
69,Hybrid,mixture2,-1.33780505,7.242e-05
70,Hybrid,mixture2,-1.33802351,1.255e-05
71,Hybrid,mixture2,-1.33748889,1.563e-05
72,Hybrid,mixture2,-1.33807089,6.673e-05
73,Hybrid,mixture2,-1.33805606,4.117e-05
74,Hybrid,mixture2,-1.33806183,3.193e-05
75,Hybrid,mixture2,-1.33805343,1.144e-05
76,Hybrid,mixture2,-1.33742126,4.033e-05
77,Hybrid,mixture2,-1.3381003,3.672e-05
78,Hybrid,mixture2,-1.33750808,2.402e-05
79,Hybrid,mixture2,-1.33749473,1.385e-05
80,Hybrid,mixture2,-1.33804249,1.029e-05
81,Hybrid,mixture2,-1.33745634,1.77e-05
82,Hybrid,mixture2,-1.33804986,1.647e-05
83,Hybrid,mixture2,-1.33761339,6.37e-05
84,Hybrid,mixture2,-1.3380553,1.652e-05
85,Hybrid,mixture2,-1.3358737,8.028e-05
86,Hybrid,mixture2,-1.33804434,3.597e-05
87,Hybrid,mixture2,-1.33805046,1.152e-05
88,Hybrid,mixture2,-1.33802884,1.341e-05
89,Hybrid,mixture2,-1.33759776,2.655e-05
90,Hybrid,mixture2,-1.33748815,1.613e-05
91,Hybrid,mixture2,-1.33802992,1.641e-05
92,Hybrid,mixture2,-1.33745208,1.692e-05
93,Hybrid,mixture2,-1.3380446,3.309e-05
94,Hybrid,mixture2,-1.33809526,3.699e-05
95,Hybrid,mixture2,-1.33455539,0.00010361
96,Hybrid,mixture2,-1.33803597,1.475e-05
97,Hybrid,mixture2,-1.33804571,1.191e-05
98,Hybrid,mixture2,-1.33559357,8.76e-06
99,Hybrid,mixture2,-1.33745764,2.492e-05
100,Hybrid,mixture2,-1.33803653,1.832e-05
