step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
141,Row-Update,mps2,-1.33302182,2.25418320e-04,100
141,Hybrid,mixture2,-1.33351678,1.89642324e-04,100
142,Metropolis,metropolis,-1.33219494,4.65374118e-04,100
142,Row-Update,mps2,-1.33305934,2.28171508e-04,100
142,Hybrid,mixture2,-1.33359318,1.74747074e-04,100
143,Metropolis,metropolis,-1.33213888,4.77820939e-04,100
143,Row-Update,mps2,-1.33310605,2.23472298e-04,100
143,Hybrid,mixture2,-1.33361883,1.78664510e-04,100
144,Metropolis,metropolis,-1.33221067,4.65632208e-04,100
144,Row-Update,mps2,-1.33322158,2.25434897e-04,100
144,Hybrid,mixture2,-1.33361578,1.80996847e-04,100
145,Metropolis,metropolis,-1.33225751,4.56149830e-04,100
145,Row-Update,mps2,-1.33317762,2.27051957e-04,100
145,Hybrid,mixture2,-1.33365034,1.81679536e-04,100
146,Metropolis,metropolis,-1.33229129,4.50605780e-04,100
146,Row-Update,mps2,-1.33319272,2.28756797e-04,100
146,Hybrid,mixture2,-1.33365702,1.75955162e-04,100
147,Metropolis,metropolis,-1.33237039,4.55731411e-04,100
147,Row-Update,mps2,-1.33325069,2.24682254e-04,100
147,Hybrid,mixture2,-1.33370501,1.70521691e-04,100
148,Metropolis,metropolis,-1.33234692,4.56964154e-04,100
148,Row-Update,mps2,-1.33329428,2.23854565e-04,100
148,Hybrid,mixture2,-1.33378072,1.65356699e-04,100
149,Metropolis,metropolis,-1.33246289,4.53648410e-04,100
149,Row-Update,mps2,-1.33335301,2.18710780e-04,100
149,Hybrid,mixture2,-1.33380355,1.68316494e-04,100
150,Metropolis,metropolis,-1.33242831,4.51499639e-04,100
150,Row-Update,mps2,-1.33342722,2.22268401e-04,100
150,Hybrid,mixture2,-1.33382076,1.64732251e-04,100
151,Metropolis,metropolis,-1.33250655,4.50627191e-04,100
151,Row-Update,mps2,-1.33348083,2.20232822e-04,100
151,Hybrid,mixture2,-1.33387681,1.56207192e-04,100
152,Metropolis,metropolis,-1.33250622,4.52423804e-04,100
152,Row-Update,mps2,-1.33350334,2.11761557e-04,100
152,Hybrid,mixture2,-1.33384284,1.61897143e-04,100
153,Metropolis,metropolis,-1.33256168,4.50334002e-04,100
153,Row-Update,mps2,-1.33349379,2.14187479e-04,100
153,Hybrid,mixture2,-1.33393155,1.56571989e-04,100
154,Metropolis,metropolis,-1.33262099,4.46678609e-04,100
154,Row-Update,mps2,-1.33352782,2.15043292e-04,100
154,Hybrid,mixture2,-1.33390537,1.61383472e-04,100
155,Metropolis,metropolis,-1.33261266,4.49647700e-04,100
155,Row-Update,mps2,-1.33349473,2.30543532e-04,100
155,Hybrid,mixture2,-1.33389705,1.55799526e-04,100
156,Metropolis,metropolis,-1.33271225,4.43362647e-04,100
156,Row-Update,mps2,-1.33355706,2.29841371e-04,100
156,Hybrid,mixture2,-1.33397267,1.46004463e-04,100
157,Metropolis,metropolis,-1.33272090,4.42596836e-04,100
157,Row-Update,mps2,-1.33361032,2.22517602e-04,100
157,Hybrid,mixture2,-1.33401181,1.47404944e-04,100
158,Metropolis,metropolis,-1.33270307,4.44947146e-04,100
158,Row-Update,mps2,-1.33369840,2.20586274e-04,100
158,Hybrid,mixture2,-1.33403418,1.50084255e-04,100
159,Metropolis,metropolis,-1.33272302,4.43683016e-04,100
159,Row-Update,mps2,-1.33369000,2.17248213e-04,100
159,Hybrid,mixture2,-1.33404407,1.45326018e-04,100
160,Metropolis,metropolis,-1.33270869,4.44773725e-04,100
160,Row-Update,mps2,-1.33371904,2.10798803e-04,100
160,Hybrid,mixture2,-1.33405622,1.48233589e-04,100
161,Metropolis,metropolis,-1.33272478,4.53446679e-04,100
161,Row-Update,mps2,-1.33374042,2.15664584e-04,100
161,Hybrid,mixture2,-1.33404456,1.46628852e-04,100
162,Metropolis,metropolis,-1.33279018,4.41945523e-04,100
162,Row-Update,mps2,-1.33373656,2.09919302e-04,100
162,Hybrid,mixture2,-1.33406780,1.47332439e-04,100
163,Metropolis,metropolis,-1.33276233,4.45594041e-04,100
163,Row-Update,mps2,-1.33377225,2.13329868e-04,100
163,Hybrid,mixture2,-1.33414374,1.44550594e-04,100
164,Metropolis,metropolis,-1.33280523,4.44540957e-04,100
164,Row-Update,mps2,-1.33374718,2.11112409e-04,100
164,Hybrid,mixture2,-1.33411114,1.44022227e-04,100
165,Metropolis,metropolis,-1.33286293,4.43471831e-04,100
165,Row-Update,mps2,-1.33384347,2.07918639e-04,100
165,Hybrid,mixture2,-1.33414194,1.44294824e-04,100
166,Metropolis,metropolis,-1.33285425,4.43158988e-04,100
166,Row-Update,mps2,-1.33387139,2.15647540e-04,100
166,Hybrid,mixture2,-1.33413393,1.38703141e-04,100
167,Metropolis,metropolis,-1.33290297,4.47076238e-04,100
167,Row-Update,mps2,-1.33390212,2.09008159e-04,100
167,Hybrid,mixture2,-1.33417672,1.43358626e-04,100
168,Metropolis,metropolis,-1.33290956,4.46197277e-04,100
168,Row-Update,mps2,-1.33386512,2.20506349e-04,100
168,Hybrid,mixture2,-1.33421221,1.35528567e-04,100
169,Metropolis,metropolis,-1.33296325,4.41802019e-04,100
169,Row-Update,mps2,-1.33388703,2.16083532e-04,100
169,Hybrid,mixture2,-1.33422348,1.33276236e-04,100
170,Metropolis,metropolis,-1.33297348,4.41464055e-04,100
170,Row-Update,mps2,-1.33392329,2.20342389e-04,100
170,Hybrid,mixture2,-1.33418311,1.39496032e-04,100
171,Metropolis,metropolis,-1.33299575,4.40289308e-04,100
171,Row-Update,mps2,-1.33394759,2.07945242e-04,100
171,Hybrid,mixture2,-1.33427577,1.36691767e-04,100
172,Metropolis,metropolis,-1.33300402,4.44245154e-04,100
172,Row-Update,mps2,-1.33394612,2.07526373e-04,100
172,Hybrid,mixture2,-1.33428629,1.32367625e-04,100
173,Metropolis,metropolis,-1.33298437,4.38943051e-04,100
173,Row-Update,mps2,-1.33401081,2.19617910e-04,100
173,Hybrid,mixture2,-1.33431159,1.30525422e-04,100
174,Metropolis,metropolis,-1.33295601,4.47235867e-04,100
174,Row-Update,mps2,-1.33404112,2.15048447e-04,100
174,Hybrid,mixture2,-1.33432607,1.29486918e-04,100
175,Metropolis,metropolis,-1.33306124,4.41649581e-04,100
175,Row-Update,mps2,-1.33406452,2.06898901e-04,100
175,Hybrid,mixture2,-1.33437695,1.31827345e-04,100
176,Metropolis,metropolis,-1.33308537,4.43418255e-04,100
176,Row-Update,mps2,-1.33407184,2.20452059e-04,100
176,Hybrid,mixture2,-1.33434969,1.37447545e-04,100
177,Metropolis,metropolis,-1.33309047,4.32522446e-04,100
177,Row-Update,mps2,-1.33407815,2.15607280e-04,100
177,Hybrid,mixture2,-1.33438572,1.38365891e-04,100
178,Metropolis,metropolis,-1.33312412,4.41306517e-04,100
178,Row-Update,mps2,-1.33415942,1.95855924e-04,100
178,Hybrid,mixture2,-1.33438006,1.34729254e-04,100
179,Metropolis,metropolis,-1.33311384,4.46474355e-04,100
179,Row-Update,mps2,-1.33411938,2.05756892e-04,100
179,Hybrid,mixture2,-1.33449328,1.27665985e-04,100
180,Metropolis,metropolis,-1.33314258,4.40969245e-04,100
180,Row-Update,mps2,-1.33417004,1.86768587e-04,100
180,Hybrid,mixture2,-1.33439801,1.30118217e-04,100
181,Metropolis,metropolis,-1.33320003,4.33464729e-04,100
181,Row-Update,mps2,-1.33422509,1.83862977e-04,100
181,Hybrid,mixture2,-1.33448553,1.28427214e-04,100
182,Metropolis,metropolis,-1.33319981,4.37215386e-04,100
182,Row-Update,mps2,-1.33420388,1.93872799e-04,100
182,Hybrid,mixture2,-1.33445777,1.30868674e-04,100
183,Metropolis,metropolis,-1.33325107,4.36076955e-04,100
183,Row-Update,mps2,-1.33426257,1.79821522e-04,100
183,Hybrid,mixture2,-1.33442575,1.31392707e-04,100
184,Metropolis,metropolis,-1.33325356,4.37943330e-04,100
184,Row-Update,mps2,-1.33430988,1.73935236e-04,100
184,Hybrid,mixture2,-1.33451440,1.29783163e-04,100
185,Metropolis,metropolis,-1.33320289,4.30579162e-04,100
185,Row-Update,mps2,-1.33424170,1.68161993e-04,100
185,Hybrid,mixture2,-1.33446920,1.27081474e-04,100
186,Metropolis,metropolis,-1.33324504,4.30822667e-04,100
186,Row-Update,mps2,-1.33433896,1.49741183e-04,100
186,Hybrid,mixture2,-1.33448694,1.38765944e-04,100
187,Metropolis,metropolis,-1.33325948,4.36550440e-04,100
187,Row-Update,mps2,-1.33435055,1.44312121e-04,100
187,Hybrid,mixture2,-1.33451798,1.24866016e-04,100
188,Metropolis,metropolis,-1.33330572,4.35523318e-04,100
188,Row-Update,mps2,-1.33441256,1.40175839e-04,100
188,Hybrid,mixture2,-1.33453006,1.33747762e-04,100
189,Metropolis,metropolis,-1.33334894,4.31394684e-04,100
189,Row-Update,mps2,-1.33443031,1.30777966e-04,100
189,Hybrid,mixture2,-1.33459338,1.25263606e-04,100
190,Metropolis,metropolis,-1.33341467,4.35546132e-04,100
190,Row-Update,mps2,-1.33446165,1.32673842e-04,100
190,Hybrid,mixture2,-1.33463548,1.21149730e-04,100
191,Metropolis,metropolis,-1.33340006,4.33936068e-04,100
191,Row-Update,mps2,-1.33444836,1.28746064e-04,100
191,Hybrid,mixture2,-1.33466314,1.19400949e-04,100
192,Metropolis,metropolis,-1.33344718,4.27011347e-04,100
192,Row-Update,mps2,-1.33444347,1.32851499e-04,100
192,Hybrid,mixture2,-1.33464267,1.19405994e-04,100
193,Metropolis,metropolis,-1.33339667,4.26034650e-04,100
193,Row-Update,mps2,-1.33450178,1.28507238e-04,100
193,Hybrid,mixture2,-1.33466002,1.19090020e-04,100
194,Metropolis,metropolis,-1.33343732,4.28187125e-04,100
194,Row-Update,mps2,-1.33455359,1.23992597e-04,100
194,Hybrid,mixture2,-1.33468254,1.19735047e-04,100
195,Metropolis,metropolis,-1.33342041,4.27273940e-04,100
195,Row-Update,mps2,-1.33447303,1.27325144e-04,100
195,Hybrid,mixture2,-1.33465370,1.20638401e-04,100
196,Metropolis,metropolis,-1.33346634,4.21876756e-04,100
196,Row-Update,mps2,-1.33457837,1.23338140e-04,100
196,Hybrid,mixture2,-1.33471218,1.19035374e-04,100
197,Metropolis,metropolis,-1.33343988,4.24967460e-04,100
197,Row-Update,mps2,-1.33459542,1.23425052e-04,100
197,Hybrid,mixture2,-1.33472654,1.16278547e-04,100
198,Metropolis,metropolis,-1.33348186,4.24321235e-04,100
198,Row-Update,mps2,-1.33458353,1.20358130e-04,100
198,Hybrid,mixture2,-1.33473677,1.19307747e-04,100
199,Metropolis,metropolis,-1.33346129,4.26852887e-04,100
199,Row-Update,mps2,-1.33458028,1.15726488e-04,100
199,Hybrid,mixture2,-1.33477129,1.13157167e-04,100
200,Metropolis,metropolis,-1.33353890,4.20365322e-04,100
200,Row-Update,mps2,-1.33459805,1.16114998e-04,100
200,Hybrid,mixture2,-1.33474456,1.16122742e-04,100
201,Metropolis,metropolis,-1.33356663,4.19277400e-04,100
201,Row-Update,mps2,-1.33465679,1.15301492e-04,100
201,Hybrid,mixture2,-1.33469252,1.16200136e-04,100
202,Metropolis,metropolis,-1.33355827,4.23052875e-04,100
202,Row-Update,mps2,-1.33461475,1.25112906e-04,100
202,Hybrid,mixture2,-1.33475821,1.21108271e-04,100
203,Metropolis,metropolis,-1.33357576,4.24384869e-04,100
203,Row-Update,mps2,-1.33467056,1.17980077e-04,100
203,Hybrid,mixture2,-1.33478337,1.19705298e-04,100
204,Metropolis,metropolis,-1.33353795,4.29985309e-04,100
204,Row-Update,mps2,-1.33468066,1.15288436e-04,100
204,Hybrid,mixture2,-1.33478007,1.22468729e-04,100
205,Metropolis,metropolis,-1.33359244,4.25028205e-04,100
205,Row-Update,mps2,-1.33468264,1.17603074e-04,100
205,Hybrid,mixture2,-1.33481413,1.17385018e-04,100
206,Metropolis,metropolis,-1.33356674,4.26695810e-04,100
206,Row-Update,mps2,-1.33471976,1.19345224e-04,100
206,Hybrid,mixture2,-1.33479252,1.17619328e-04,100
207,Metropolis,metropolis,-1.33363291,4.25837202e-04,100
207,Row-Update,mps2,-1.33471424,1.15830047e-04,100
207,Hybrid,mixture2,-1.33483348,1.20898227e-04,100
208,Metropolis,metropolis,-1.33361724,4.16638860e-04,100
208,Row-Update,mps2,-1.33479458,1.10799572e-04,100
208,Hybrid,mixture2,-1.33481041,1.24568908e-04,100
209,Metropolis,metropolis,-1.33368063,4.21392192e-04,100
209,Row-Update,mps2,-1.33475320,1.19798577e-04,100
209,Hybrid,mixture2,-1.33476915,1.31431128e-04,100
210,Metropolis,metropolis,-1.33373611,4.20728604e-04,100
210,Row-Update,mps2,-1.33477067,1.11001514e-04,100
210,Hybrid,mixture2,-1.33485592,1.24007080e-04,100
211,Metropolis,metropolis,-1.33370489,4.22136279e-04,100
211,Row-Update,mps2,-1.33481073,1.16169973e-04,100
211,Hybrid,mixture2,-1.33486825,1.27309829e-04,100
212,Metropolis,metropolis,-1.33369801,4.22302445e-04,100
212,Row-Update,mps2,-1.33482513,1.16679245e-04,100
212,Hybrid,mixture2,-1.33487204,1.25538797e-04,100
213,Metropolis,metropolis,-1.33368127,4.21405041e-04,100
213,Row-Update,mps2,-1.33476914,1.17069093e-04,100
213,Hybrid,mixture2,-1.33489936,1.26022160e-04,100
214,Metropolis,metropolis,-1.33370560,4.22677676e-04,100
214,Row-Update,mps2,-1.33483643,1.11489140e-04,100
214,Hybrid,mixture2,-1.33491227,1.22578652e-04,100
215,Metropolis,metropolis,-1.33369133,4.21945665e-04,100
215,Row-Update,mps2,-1.33484669,1.14763813e-04,100
215,Hybrid,mixture2,-1.33493482,1.18259619e-04,100
216,Metropolis,metropolis,-1.33371523,4.20033735e-04,100
216,Row-Update,mps2,-1.33481668,1.16415021e-04,100
216,Hybrid,mixture2,-1.33491833,1.21818872e-04,100
217,Metropolis,metropolis,-1.33373833,4.24235819e-04,100
217,Row-Update,mps2,-1.33483371,1.15864925e-04,100
217,Hybrid,mixture2,-1.33487932,1.24007592e-04,100
218,Metropolis,metropolis,-1.33371920,4.20023936e-04,100
218,Row-Update,mps2,-1.33485377,1.14670906e-04,100
