step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
150,Hybrid,mixture,-1.39184918,1.92357936e-03,20
151,Metropolis,metropolis,-1.38317233,2.51497097e-03,20
151,Row-Update,mps,-1.38914610,2.16586097e-03,20
151,Hybrid,mixture,-1.39196113,1.91634381e-03,20
152,Metropolis,metropolis,-1.38324529,2.52598661e-03,20
152,Row-Update,mps,-1.38914724,2.15882882e-03,20
152,Hybrid,mixture,-1.39201622,1.92366957e-03,20
153,Metropolis,metropolis,-1.38345748,2.56535108e-03,20
153,Row-Update,mps,-1.38922476,2.17121045e-03,20
153,Hybrid,mixture,-1.39203032,1.91659029e-03,20
154,Metropolis,metropolis,-1.38345567,2.55308925e-03,20
154,Row-Update,mps,-1.38933378,2.18955201e-03,20
154,Hybrid,mixture,-1.39207347,1.90740090e-03,20
155,Metropolis,metropolis,-1.38354105,2.56869949e-03,20
155,Row-Update,mps,-1.38933494,2.17562601e-03,20
155,Hybrid,mixture,-1.39216846,1.90304155e-03,20
156,Metropolis,metropolis,-1.38365179,2.56290521e-03,20
156,Row-Update,mps,-1.38931758,2.18013314e-03,20
156,Hybrid,mixture,-1.39214126,1.91282667e-03,20
157,Metropolis,metropolis,-1.38372381,2.58161221e-03,20
157,Row-Update,mps,-1.38942766,2.18405789e-03,20
157,Hybrid,mixture,-1.39225396,1.90675208e-03,20
158,Metropolis,metropolis,-1.38380385,2.59004207e-03,20
158,Row-Update,mps,-1.38946911,2.18376603e-03,20
158,Hybrid,mixture,-1.39225147,1.90755416e-03,20
159,Metropolis,metropolis,-1.38382764,2.58613776e-03,20
159,Row-Update,mps,-1.38949531,2.19208097e-03,20
159,Hybrid,mixture,-1.39238998,1.89492092e-03,20
160,Metropolis,metropolis,-1.38391127,2.58026689e-03,20
160,Row-Update,mps,-1.38954357,2.19609555e-03,20
160,Hybrid,mixture,-1.39243815,1.87042943e-03,20
161,Metropolis,metropolis,-1.38401380,2.57715372e-03,20
161,Row-Update,mps,-1.38952088,2.20472816e-03,20
161,Hybrid,mixture,-1.39242083,1.87736814e-03,20
162,Metropolis,metropolis,-1.38406944,2.56387308e-03,20
162,Row-Update,mps,-1.38952689,2.19610069e-03,20
162,Hybrid,mixture,-1.39243000,1.89069259e-03,20
163,Metropolis,metropolis,-1.38411669,2.56614980e-03,20
163,Row-Update,mps,-1.38959980,2.20777883e-03,20
163,Hybrid,mixture,-1.39254829,1.87677305e-03,20
164,Metropolis,metropolis,-1.38415757,2.56726461e-03,20
164,Row-Update,mps,-1.38962038,2.19942650e-03,20
164,Hybrid,mixture,-1.39257569,1.86598991e-03,20
165,Metropolis,metropolis,-1.38420800,2.56887742e-03,20
165,Row-Update,mps,-1.38970465,2.20467874e-03,20
165,Hybrid,mixture,-1.39263333,1.84446340e-03,20
166,Metropolis,metropolis,-1.38428717,2.56902178e-03,20
166,Row-Update,mps,-1.38963680,2.19469294e-03,20
166,Hybrid,mixture,-1.39264177,1.84461834e-03,20
167,Metropolis,metropolis,-1.38431756,2.57972033e-03,20
167,Row-Update,mps,-1.38970678,2.21427692e-03,20
167,Hybrid,mixture,-1.39269770,1.85429914e-03,20
168,Metropolis,metropolis,-1.38432102,2.57059552e-03,20
168,Row-Update,mps,-1.38975996,2.21576606e-03,20
168,Hybrid,mixture,-1.39274453,1.83457574e-03,20
169,Metropolis,metropolis,-1.38438808,2.57470139e-03,20
169,Row-Update,mps,-1.38973767,2.20435866e-03,20
169,Hybrid,mixture,-1.39284226,1.83455148e-03,20
170,Metropolis,metropolis,-1.38440542,2.56233548e-03,20
170,Row-Update,mps,-1.38974432,2.20383101e-03,20
170,Hybrid,mixture,-1.39284859,1.83016838e-03,20
171,Metropolis,metropolis,-1.38448503,2.56882037e-03,20
171,Row-Update,mps,-1.38982827,2.22010464e-03,20
171,Hybrid,mixture,-1.39287716,1.83307236e-03,20
172,Metropolis,metropolis,-1.38454703,2.57433547e-03,20
172,Row-Update,mps,-1.38981727,2.20672290e-03,20
172,Hybrid,mixture,-1.39288202,1.83422837e-03,20
173,Metropolis,metropolis,-1.38454409,2.56505150e-03,20
173,Row-Update,mps,-1.38981320,2.21160315e-03,20
173,Hybrid,mixture,-1.39288202,1.82653232e-03,20
174,Metropolis,metropolis,-1.38459122,2.57246556e-03,20
174,Row-Update,mps,-1.38987451,2.20930911e-03,20
174,Hybrid,mixture,-1.39286138,1.83976138e-03,20
175,Metropolis,metropolis,-1.38467180,2.57074440e-03,20
175,Row-Update,mps,-1.38989667,2.21533195e-03,20
175,Hybrid,mixture,-1.39295570,1.83718628e-03,20
176,Metropolis,metropolis,-1.38470194,2.57672156e-03,20
176,Row-Update,mps,-1.38987390,2.20388795e-03,20
176,Hybrid,mixture,-1.39300853,1.81806431e-03,20
177,Metropolis,metropolis,-1.38478517,2.58749366e-03,20
177,Row-Update,mps,-1.38996542,2.21474214e-03,20
177,Hybrid,mixture,-1.39301693,1.82218047e-03,20
178,Metropolis,metropolis,-1.38478725,2.58116908e-03,20
